album_name,spotify_album_uri,track_name,spotify_track_uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,key_name,mode_name,key_mode
Fearless,43OpbkiiIxJO8ktIB777Nn,Forever & Always - Piano Version,46HGgtwmmuEB8mvDCyjyAc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,Come In With The Rain,4pl5zcqCv4vc3cB7M4MZ6f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,SuperStar,14Bljc3pOOG0xQX3wqhLN9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,The Other Side Of The Door,0xvsgzM8AtBtRHZm5rav8A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,Fearless,3F6czr26ZwGU5O5CHY04Ma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,Fifteen,3M0w3fhdXByHLCNAoi5c9G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,Love Story,0kN3oXYWWAk1uC0y2WoyOE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,Hey Stephen,6wcFdMmiDscAhZJrcVFumx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,White Horse,4jPtq9shRdUv8Zjr0a5xkD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,You Belong With Me,3as6Wz3mwbTnusWhZjTUNr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fearless,43OpbkiiIxJO8ktIB777Nn,Breathe,6S9G7J3EB1ZY0rrZPwsBg5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
